metric,rank,window_end_date,score
signature_trailing_score,1,2020-03-18,117.81710677237889
signature_trailing_score,2,2020-03-16,109.53088036786669
signature_trailing_score,3,2020-03-19,90.09450041305217
signature_trailing_score,4,2020-03-20,88.12115524873711
signature_trailing_score,5,2020-03-23,80.64736167548153
signature_trailing_score,6,2020-03-12,78.93349234943248
signature_trailing_score,7,2020-03-17,67.98092591898244
signature_trailing_score,8,2020-04-16,57.72628234437543
signature_trailing_score,9,2020-03-09,49.83611581225315
signature_trailing_score,10,2020-04-17,48.69917097167068
signature_trailing_score,11,2020-03-30,45.546597747814566
signature_trailing_score,12,2020-03-13,43.76844889811312
signature_trailing_score,13,2020-04-01,41.9639654985482
signature_trailing_score,14,2020-04-03,40.79406299197254
signature_trailing_score,15,2020-03-24,40.52987273788384
signature_consecutive_distance,1,2020-03-16,86.59817994529138
signature_consecutive_distance,2,2020-03-17,76.5976051173085
signature_consecutive_distance,3,2020-03-20,67.43237643702078
signature_consecutive_distance,4,2020-03-18,59.735411080959146
signature_consecutive_distance,5,2020-03-24,58.329723161937196
signature_consecutive_distance,6,2020-03-12,51.597891358008866
signature_consecutive_distance,7,2020-03-13,46.04509395262872
signature_consecutive_distance,8,2020-04-20,37.08588925878209
signature_consecutive_distance,9,2020-04-16,37.040740252587696
signature_consecutive_distance,10,2020-03-23,35.445255894417286
signature_consecutive_distance,11,2020-04-14,35.073733266817115
signature_consecutive_distance,12,2020-03-10,30.42534731983911
signature_consecutive_distance,13,2020-03-19,30.342630367803434
signature_consecutive_distance,14,2020-04-15,30.089144273932167
signature_consecutive_distance,15,2020-03-09,28.394353088537112
returns_trailing_score,1,2020-03-27,36.29158055715788
returns_trailing_score,2,2020-03-30,36.14680273513491
returns_trailing_score,3,2020-03-26,36.09900914392794
returns_trailing_score,4,2020-04-01,35.97571828292862
returns_trailing_score,5,2020-03-31,35.96367664179421
returns_trailing_score,6,2020-03-25,35.90545660719431
returns_trailing_score,7,2020-03-24,35.86341627975395
returns_trailing_score,8,2020-04-02,35.809195699576016
returns_trailing_score,9,2020-04-03,35.41085148041364
returns_trailing_score,10,2020-04-06,35.1185400539913
returns_trailing_score,11,2020-03-20,34.465770821430525
returns_trailing_score,12,2020-03-23,34.41928191005765
returns_trailing_score,13,2020-04-07,34.05264177299963
returns_trailing_score,14,2020-04-08,33.546303539660116
returns_trailing_score,15,2020-03-19,33.38450006829344
covariance_trailing_score,1,2020-03-24,27.34988040458969
covariance_trailing_score,2,2020-03-25,26.848450487688925
covariance_trailing_score,3,2020-03-26,26.70240183381762
covariance_trailing_score,4,2020-03-27,26.677006222173567
covariance_trailing_score,5,2020-03-30,25.804483274590915
covariance_trailing_score,6,2020-03-20,25.09987120623677
covariance_trailing_score,7,2020-03-31,24.973134882856066
covariance_trailing_score,8,2020-03-23,24.66814844332582
covariance_trailing_score,9,2020-03-17,24.458711437986164
covariance_trailing_score,10,2020-04-01,24.02441359702989
covariance_trailing_score,11,2020-03-18,23.95757430310811
covariance_trailing_score,12,2020-03-19,23.52477175909491
covariance_trailing_score,13,2020-04-02,23.263711718095475
covariance_trailing_score,14,2020-04-03,22.0526037176215
covariance_trailing_score,15,2020-04-06,20.612779597787725
volatility_trailing_score,1,2020-03-24,12.663973474318466
volatility_trailing_score,2,2020-03-25,12.42852699949738
volatility_trailing_score,3,2020-03-26,12.350481748839684
volatility_trailing_score,4,2020-03-20,12.197395290749911
volatility_trailing_score,5,2020-03-27,12.173299362635507
volatility_trailing_score,6,2020-03-23,12.084795568679471
volatility_trailing_score,7,2020-03-18,11.8546409774695
volatility_trailing_score,8,2020-03-30,11.818895415187498
volatility_trailing_score,9,2020-03-19,11.742169110817228
volatility_trailing_score,10,2020-03-17,11.58243048072886
volatility_trailing_score,11,2020-03-31,11.508977080521364
volatility_trailing_score,12,2020-04-01,11.14977272390231
volatility_trailing_score,13,2020-04-02,10.876031317450252
volatility_trailing_score,14,2020-03-16,10.4553548573579
volatility_trailing_score,15,2020-04-03,10.331133552989709
