episode_start,episode_end,peak_date,peak_score,duration_windows,threshold
2020-02-24,2020-06-24,2020-03-18,47.28418427476096,86,6.508064357532309
2025-04-03,2025-04-29,2025-04-09,20.672577642192792,18,6.508064357532309
2011-08-04,2011-08-31,2011-08-08,17.562161497711358,20,6.508064357532309
2015-08-21,2015-09-02,2015-08-25,11.235624501523231,9,6.508064357532309
2022-11-10,2022-11-16,2022-11-10,9.790677855477215,5,6.508064357532309
2010-05-06,2010-05-11,2010-05-07,9.47897293269808,4,6.508064357532309
2011-09-22,2011-09-23,2011-09-22,9.337803068610294,2,6.508064357532309
2018-12-21,2018-12-24,2018-12-24,9.037799154596941,2,6.508064357532309
2018-02-08,2018-02-09,2018-02-08,8.984427847186565,2,6.508064357532309
2022-06-13,2022-06-14,2022-06-13,8.862330419467384,2,6.508064357532309
2022-05-09,2022-05-12,2022-05-11,8.843099476232615,4,6.508064357532309
2010-05-20,2010-05-24,2010-05-20,8.797167313659026,3,6.508064357532309
2024-08-05,2024-08-05,2024-08-05,8.41235345973746,1,6.508064357532309
2011-10-27,2011-11-01,2011-11-01,8.396110648628737,4,6.508064357532309
2018-02-05,2018-02-05,2018-02-05,8.24148413116233,1,6.508064357532309
2011-09-02,2011-09-06,2011-09-02,8.108758907248934,2,6.508064357532309
2025-05-13,2025-05-21,2025-05-19,7.98667289595213,7,6.508064357532309
2022-04-11,2022-04-11,2022-04-11,7.894594882434899,1,6.508064357532309
2022-10-25,2022-10-26,2022-10-25,7.868269137395437,2,6.508064357532309
2025-05-01,2025-05-02,2025-05-01,7.671091278267266,2,6.508064357532309
2022-04-26,2022-04-26,2022-04-26,7.6102479067664826,1,6.508064357532309
2018-10-11,2018-10-11,2018-10-11,7.581915544978512,1,6.508064357532309
2022-01-21,2022-01-21,2022-01-21,7.5476778047777415,1,6.508064357532309
2020-09-08,2020-09-08,2020-09-08,7.3823008080186066,1,6.508064357532309
2022-03-16,2022-03-18,2022-03-18,7.373292196193831,3,6.508064357532309
2020-06-26,2020-06-26,2020-06-26,7.229057504475722,1,6.508064357532309
2022-03-29,2022-03-29,2022-03-29,7.193349788306826,1,6.508064357532309
2011-10-14,2011-10-14,2011-10-14,7.177918591857285,1,6.508064357532309
2025-05-07,2025-05-07,2025-05-07,7.077762734612247,1,6.508064357532309
2022-05-18,2022-05-18,2022-05-18,6.98660609509924,1,6.508064357532309
2022-06-16,2022-06-16,2022-06-16,6.952509450383926,1,6.508064357532309
2022-03-22,2022-03-22,2022-03-22,6.935559556521083,1,6.508064357532309
2022-05-27,2022-05-27,2022-05-27,6.934059325456436,1,6.508064357532309
2018-11-20,2018-11-20,2018-11-20,6.887600989713716,1,6.508064357532309
2011-10-12,2011-10-12,2011-10-12,6.860416922617823,1,6.508064357532309
2022-04-29,2022-04-29,2022-04-29,6.834524362260581,1,6.508064357532309
2010-05-27,2010-05-27,2010-05-27,6.795966440598221,1,6.508064357532309
2022-12-06,2022-12-07,2022-12-07,6.748697832828613,2,6.508064357532309
2021-02-25,2021-02-26,2021-02-25,6.713395159502063,2,6.508064357532309
2022-09-12,2022-09-12,2022-09-12,6.6856997530182145,1,6.508064357532309
2019-08-05,2019-08-05,2019-08-05,6.685412470067087,1,6.508064357532309
2022-08-01,2022-08-01,2022-08-01,6.56729150096847,1,6.508064357532309
2022-09-27,2022-09-27,2022-09-27,6.529293080301387,1,6.508064357532309
