alpha,clock_type,feature_dim,global_median_score,mean_stress_ratio,covid_ratio,objective_score,top_episode_peak_date,top_episode_peak_score
1.2,linear,19,2.409464470133404,3.574576913479409,8.150943540487399,3.574576913479409,2020-03-18,47.28418427476096
0.7,linear,19,2.4547397323525826,3.465479281334993,7.901026841078934,3.465479281334993,2020-03-18,45.86408340812046
0.35,linear,19,2.464420078819007,3.414329215105785,7.7781635891810055,3.414329215105785,2020-03-18,43.71405674947085
0.0,linear,19,2.4360730571363596,3.3850434376201135,7.714395789449252,3.3850434376201135,2020-03-18,40.7632228109613
0.15,linear,19,2.4926569348493883,3.333160307585557,7.566864756097428,3.333160307585557,2020-03-18,42.067989805734605
0.0,movement,19,2.9350861967970774,2.699590643169326,5.7393635277531985,2.699590643169326,2020-03-18,38.983756547716204
0.35,movement,19,3.0301101797406145,2.6802117784990123,5.664298813451517,2.6802117784990123,2020-03-18,38.8854412576394
0.15,movement,19,3.037307495854512,2.668077431496992,5.618559009509811,2.668077431496992,2020-03-18,39.07984924245818
0.7,movement,19,3.0529064559898162,2.6529168348921277,5.628041476527444,2.6529168348921277,2020-03-18,37.72685805234419
1.2,movement,19,3.093859197208151,2.6001404558078653,5.520088806583489,2.6001404558078653,2020-03-18,34.991023726321245
