metric,rank,window_end_date,score
expath_trailing_score,1,2020-03-18,47.28418427476096
expath_trailing_score,2,2020-03-16,41.7824083737863
expath_trailing_score,3,2020-03-17,39.70557029211848
expath_trailing_score,4,2020-03-19,37.18101275806168
expath_trailing_score,5,2020-03-12,35.09842263783962
expath_trailing_score,6,2020-03-23,34.961927744546486
expath_trailing_score,7,2020-03-24,34.834234059747025
expath_trailing_score,8,2020-03-20,32.665276634594974
expath_trailing_score,9,2020-03-26,30.397403022743546
expath_trailing_score,10,2020-03-25,29.76283304502446
expath_trailing_score,11,2020-03-13,29.21058829842924
expath_trailing_score,12,2020-03-30,26.934126216728405
expath_trailing_score,13,2020-03-27,26.824695764792992
expath_trailing_score,14,2020-03-31,23.491118013717017
expath_trailing_score,15,2020-03-11,22.596494083303153
expath_consecutive_distance,1,2020-03-16,26.45341569651132
expath_consecutive_distance,2,2020-03-17,25.194112573833667
expath_consecutive_distance,3,2020-03-20,23.707651762792082
expath_consecutive_distance,4,2020-03-13,17.33445795990696
expath_consecutive_distance,5,2025-04-09,17.043717209757208
expath_consecutive_distance,6,2020-03-24,16.65982560869976
expath_consecutive_distance,7,2020-03-12,16.617898676840387
expath_consecutive_distance,8,2020-03-09,14.758199227331357
expath_consecutive_distance,9,2020-03-18,13.67021651152089
expath_consecutive_distance,10,2020-03-23,12.820318853436195
expath_consecutive_distance,11,2020-03-19,12.326505556578981
expath_consecutive_distance,12,2020-03-10,12.32344928130355
expath_consecutive_distance,13,2022-11-10,10.842328829770667
expath_consecutive_distance,14,2020-03-11,10.419008502780132
expath_consecutive_distance,15,2011-08-11,10.122404212706627
path2_trailing_score,1,2020-03-18,40.7632228109613
path2_trailing_score,2,2020-03-19,35.65497067666657
path2_trailing_score,3,2020-03-20,31.199026644232116
path2_trailing_score,4,2020-03-16,31.158478156592434
path2_trailing_score,5,2020-03-17,31.037937252254213
path2_trailing_score,6,2020-03-23,29.98694863528805
path2_trailing_score,7,2020-03-30,29.139062744262564
path2_trailing_score,8,2020-04-06,28.435895669087248
path2_trailing_score,9,2020-03-25,28.29853206024895
path2_trailing_score,10,2020-04-03,28.05021971513124
path2_trailing_score,11,2020-04-01,27.69793034281131
path2_trailing_score,12,2020-04-02,27.46695560982138
path2_trailing_score,13,2020-03-24,27.43734645352389
path2_trailing_score,14,2020-03-26,27.386335658740432
path2_trailing_score,15,2020-03-31,27.1732840364567
signature_trailing_score,1,2020-03-18,117.81710677237888
signature_trailing_score,2,2020-03-16,109.53088036786669
signature_trailing_score,3,2020-03-19,90.09450041305216
signature_trailing_score,4,2020-03-20,88.12115524873711
signature_trailing_score,5,2020-03-23,80.64736167548153
signature_trailing_score,6,2020-03-12,78.93349234943248
signature_trailing_score,7,2020-03-17,67.98092591898244
signature_trailing_score,8,2020-04-16,57.72628234437543
signature_trailing_score,9,2020-03-09,49.83611581225315
signature_trailing_score,10,2020-04-17,48.69917097167068
signature_trailing_score,11,2020-03-30,45.546597747814566
signature_trailing_score,12,2020-03-13,43.76844889811312
signature_trailing_score,13,2020-04-01,41.9639654985482
signature_trailing_score,14,2020-04-03,40.79406299197254
signature_trailing_score,15,2020-03-24,40.52987273788384
